"id","name","tm","pleiades","region"
1,"Memphis",1344,736963,
2,"Letopolis",1245,727149,"Lower Egypt (Delta)"
3,"Sais",2072,727217,"Lower Egypt (Delta)"
4,"Xois",2507,727256,"Lower Egypt (Delta)"
5,"Hermopolis Mikra",817,727123,"Lower Egypt (Delta)"
6,"Heroonpolis",2297,727124,
7,"Bousiris",469,727090,"Lower Egypt (Delta)"
8,"Athribis",369,727078,"Lower Egypt (Delta)"
9,"Leontopolis (Tell el-Moqdam)",1238,727147,"Lower Egypt (Delta)"
10,"Sebennytos",2104,727227,"Lower Egypt (Delta)"
11,"Heliopolis",761,727117,
12,"Tanis",2252,727236,
13,"Hermopolis",815,727122,
14,"Tell el-Balamun",575,727111,"Lower Egypt (Delta)"
15,"Bubastis",462,727088,"Lower Egypt (Delta)"
16,"Elephantine",621,786021,
18,"Hierakonpolis",848,786037,
19,"Luxor complex",576,786017,"Eastern Thebes"
20,"Koptos",1159,786010,
21,"Dendera",2312,786127,
22,"Diospolis Mikra",577,756566,
23,"Abydos",34,756512,
24,"Panopolis",1589,756613,"Northern Upper Egypt"
25,"Antaiopolis",188,756515,
26,"Hypsele",864,756578,
27,"Lykopolis",1271,756593,
28,"Hermopolis Magna",816,756574,
29,"Kynopolis",1196,736949,
30,"Ankyropolis",182,736888,
31,"Oxyrhynchos",1524,736983,
32,"Herakleopolis Magna",801,736920,
33,"Arsinoe",327,736948,"Fayyum"
34,"Aphroditopolis",236,736889,
35,"Thmouis",2405,727249,"Lower Egypt (Delta)"
36,"Pelusium",1662,727192,
37,"Taya",3075,727243,"Lower Egypt (Delta)"
38,"Alexandria",100,727070,
39,"Metelis",2640,727163,"Lower Egypt (Delta)"
40,"Buto","3685, 10704, 10767",727094,"Lower Egypt (Delta)"
41,"Herakleopolis Mikra",800,727121,
42,"Kynopolis Inferior",5392,727144,
43,"Pharbaithos",1751,727196,
44,"Phakoussa",1729,727194,
45,"Nikiou",1463,727174,"Lower Egypt (Delta)"
46,"Phragonis",7961,727201,"Lower Egypt (Delta)"
47,"Kabasa",2636,727133,"Lower Egypt (Delta)"
48,"Panephysis",6258,727184,
49,"Andronpolis","3108, 8505",727071,"Lower Egypt (Delta)"
50,"Onouphis Kato",3093,730134,"Lower Egypt (Delta)"
51,"Onouphis Ano",3093,730134,"Lower Egypt (Delta)"
52,"Schedia",2096,727221,
53,"Antinoupolis",2774,756518,"Middle Egypt"
54,"Ptolemais",2018,373879,
55,"Apollonopolis Parva",270,785975,
56,"Koussai",1176,756588,
57,"Neiloupolis",1433,736973,
58,"Esna",1227,786059,
59,"Tsine",,,
60,"Tse",7741,759689,
61,"Thbew",,,
62,"Monchosis Thmoushons",5796,,
63,"Pesterposen",,,
64,"Chenoboskion",5089,756545,
65,"Bekhne",,,
66,"Tabennisis",7358,786125,
67,"Maximianoupolis",952,786047,
68,"Pbou",3843,756540,
69,"Metanoia",5744,,
70,"Hermonthis",812,786036,
71,"Pispir",,,
72,"Deir Anba Hadra / St. Simeon",2207,786106,
73,"Bawit",10454,756663,
74,"Naqlun",1418,736975,
75,"Monastery of Apa Jeremiah",12916,736963,"Memphis"
76,"Sketis",3375,727232,
77,"Nitria",1473,727177,
78,"Kellia",3375,727141,
79,"Monastery of St. Paul",5104,746800,
80,"Monastery St. Antony",3563,,
82,"Western Thebes MMA 1152",1341,786067,"Western Thebes"
83,"Nag Hammadi",2803,,"Northern Upper Egypt"
84,"Berenike (Upper Egypt)",416,785986,
85,"Farshut",5082,,
86,"Deir el-Qaddis Abu Bifam",,756547,
87,"Medinet Habu",1341,786067,"Western Thebes"
88,"Petemout",1281,786088,
89,"Ostrakine",1518,687993,
90,"Naqada",2994,,
91,"Monastery of St. Thomas at Wadi Sarga",12542,759543,"Northern Upper Egypt"
92,"Deir el-Bala’izah",3025,756520,"Northern Upper Egypt"
93,"Deir el-Moharraq",3122,,
94,"Gebel Assiut el-Gharbi",1271,756593,
95,"Hagr Edfu",4982,,"Southern upper Egypt"
96,"Philae",17677,786089,
97,"Deir el-Kubbaniya",2772,786056,"Southern upper Egypt"
98,"Deir Qubbat el Hawa",4984,979588215,
99,"Hamuli/Monastery of the Archangel Michael at Phantoou",50403,737001,"Fayyum"
100,"Gebel el-Qalamun",11585,737030,"Fayyum"
101,"Touton",2287,737072,"Fayyum"
102,"Dishna",,,"Northern Upper Egypt"
103,"This",2400,756659,
104,"Medinet Madi",1421,736972,"Fayyum"
105,"Bakchias",392,736896,"Fayyum"
106,"Karanis",1008,736932,"Fayyum"
107,"Soknopaiou Nesos",2157,737053,
108,"Deir Abu Lifah",3506,756549,"Fayyum"
109,"Deir Abu Hennes Wadi Gamus",3506,756549,
110,"Wadi Natrun",3375,727104,
111,"Sopehes",50405,,
112,"Monastery of Shenoute at Atripe",3121,756530,"Northern Upper Egypt"
113,"Red Monastery at Atripe",2820,,
114,"Kellis",2762,776189,
115,"Bagawat",2739,776156,
116,"Abu Mina",2711,727105,
117,"Marina el Alamein",8554,716524,
118,"Ennaton",,,
119,"Dionysias",565,736904,
120,"Philoteris",1780,737010,
121,"Theadelphia",2349,737081,
122,"Hawara",747,736918,
123,"El-Lahun",2024,737029,
124,"Phthenetou",7865,,
125,"Kleopatris",,,
126,"Rinokoloura",2052,688016,
127,"Pachnemounis",2674,727183,"Lower Egypt (Delta)"
128,"Syene",2207,786123,
129,"Achaia",12014,828238,
130,"Stathmon",12696,573533,
131,"Terenouthis",2318,727244,
132,"Paralos",6313,727224,"Lower Egypt (Delta)"
133,"Tamiathis",3054,727235,
134,"Gerrae",,,
135,"Daphnai",3607,727103,
136,"Sethroites",3089,,
137,"Boukolia",13247,,
138,"Thennesos",3210,727247,
139,"Aphnaioua",225,730089,
140,"Clysma",2794,727101,
141,"Naukratis",1424,727169,
142,"Helearchia",4171,730114,
143,"Marea",2718,727153,
144,"Babylon",389,727082,
145,"Hephaistos",4364,727119,
146,"Skenai Mandrai",2149,737050,
147,"Hamamieh",,,"Northern Upper Egypt"
149,"Psinches",12015,,
150,"Paraitonion",3668,716615,
151,"Alexandreon Chora",2630,,
152,"Zygrai",4299,716656,
153,"Ammoniake",2575,716520,
154,"Oasis Magna",619,776210,
155,"Prosopites",3081,727206,
156,"Sile",2109,727231,
157,"Boreum",40348,363948,
158,"Berenike (Lower Egypt)",831,373757,
159,"Taucheira",3640,373736,
160,"Barke",402,373750,
161,"Eglibos?",,,
162,"Antipyrgos",8550,716525,
163,"Bassachitai?",3777,716534,
164,"Hadrianopolis",10968,373824,
165,"Erythron",664,373785,
166,"Abydos Deir Abu Masis",,756550,
169,"Manqabad",2993,,
170,"Alexandria - Kom el Dikka",100,845040004,
171,"Amarna",2767,149576487,
172,"Beni Hassan",414,112509596,
173,"Dakhleh",2753,776172,
174,"Trimouthis",2733,776235,
175,"Dakleh Ain el Gedida",3126,861854258,
176,"Deir abu Matta",,667956220,
178,"El-Mudil",3695,,
179,"Tell Edfu",269,785974,"Southern upper Egypt"
180,"Deir el Banat",14197,,"Fayyum"
181,"Imbaba el Mansuriya ",,776197,
182,"Karnak","576, 13524, 13525","786017, 786050","Eastern Thebes"
183,"Kharga",619,776210,
184,"El-Deir",14221,776167,
185,"Hibis",2786,776181,
186,"Kom Ombo",1499,786079,
187,"Nag el Hagar",,,
188,"Pharan",7832,746792,
189,"Qasr Ibrim",1916,798094,
191,"Western Thebes",1341,786067,
192,"Deir el Bakhit",13098,786014,"Western Thebes"
193,"Monastery of St. Phoibammon",11645,,"Western Thebes"
194,"Monastery of Saint Isidorus Martyr at Deir el Medina",1341,864388873,"Western Thebes"
195,"Deir el Rumi",1341,786067,"Western Thebes"
196,"Western Thebes TT C3",1341,786067,"Western Thebes"
198,"Monastery of Epiphanius",1341,786067,"Western Thebes"
199,"Western Thebes TT 29",1341,786067,"Western Thebes"
200,"Monastery of Cyriacus",1341,786067,"Western Thebes"
